M D Y: 11 21 2025
10:21:30:323754 Gateway 1, reading I: PPS DETECTED
10:21:30:370753 Gateway 0, reading I: PPS DETECTED
10:21:31:308158 Gateway 0, reading I: PPS DETECTED
10:21:31:331860 Gateway 1, reading I: PPS DETECTED
10:21:32:316387 Gateway 0, reading I: PPS DETECTED
10:21:32:340388 Gateway 1, reading I: PPS DETECTED
10:21:33:322624 Gateway 0, reading I: PPS DETECTED
10:21:33:345425 Gateway 1, reading I: PPS DETECTED
10:21:34:328906 Gateway 0, reading I: PPS DETECTED
10:21:34:352907 Gateway 1, reading I: PPS DETECTED
10:21:35:337729 Gateway 0, reading I: PPS DETECTED
10:21:35:361168 Gateway 1, reading I: PPS DETECTED
10:21:36:344930 Gateway 0, reading I: PPS DETECTED
10:21:36:366929 Gateway 1, reading I: PPS DETECTED
10:21:37:352040 Gateway 0, reading I: PPS DETECTED
10:21:37:358077 Gateway 1, sending b'NIBWA0000400000000000000000000000000'
10:21:37:362076 Gateway 0, sending b'NIBWA0000400000000000000000000000000'
10:21:37:373765 Gateway 1, reading I: PPS DETECTED
10:21:38:357684 Gateway 0, reading I: PPS DETECTED
10:21:38:358680 Gateway 0, reading I: Write NIB - PPS
10:21:38:380684 Gateway 1, reading I: PPS DETECTED
10:21:38:381691 Gateway 1, reading I: Write NIB - PPS
10:21:39:289920 Gateway 1, reading I: PPS DETECTED
10:21:39:367921 Gateway 0, reading I: PPS DETECTED
10:21:40:297345 Gateway 1, reading I: PPS DETECTED
10:21:40:373323 Gateway 0, reading I: PPS DETECTED
10:21:41:305123 Gateway 1, reading I: PPS DETECTED
10:21:41:380231 Gateway 0, reading I: PPS DETECTED
10:21:42:288669 Gateway 0, reading I: PPS DETECTED
10:21:42:313349 Gateway 1, reading I: PPS DETECTED
10:21:43:294878 Gateway 0, reading I: PPS DETECTED
10:21:43:318871 Gateway 1, reading I: PPS DETECTED
10:21:44:106607 Gateway 0, sending b'NIBR\xc4\xc2\x15\x1d\xae\xb3'
10:21:44:201601 Gateway 0, reading I: READ FROM NIB
10:21:44:303021 Gateway 0, reading I: PPS DETECTED
10:21:44:325115 Gateway 1, reading I: PPS DETECTED
10:21:44:706482 Gateway 0, reading I: [C4:C2:15:1D:AE:B3 (random)] Sensor NIB read:
10:21:44:707504 Gateway 0, reading 52455455524e444952323346494c342d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
10:21:45:332869 Gateway 1, reading I: PPS DETECTED
10:21:45:345869 Gateway 0, reading I: PPS DETECTED
10:21:46:339538 Gateway 1, reading I: PPS DETECTED
10:21:46:352576 Gateway 0, reading I: PPS DETECTED
10:21:47:345956 Gateway 1, reading I: PPS DETECTED
10:21:47:359009 Gateway 0, reading I: PPS DETECTED
10:21:48:352334 Gateway 1, reading I: PPS DETECTED
10:21:48:366342 Gateway 0, reading I: PPS DETECTED
10:21:48:634036 Gateway 0, sending b'HYP\xc4\xc2\x15\x1d\xae\xb3\x04\xff\xff\xff'
10:21:48:669054 Gateway 0, reading I: Read SOH CMD
10:21:49:272360 Gateway 0, reading I: [C4:C2:15:1D:AE:B3 (random)] Sensor SOH read: 1
10:21:49:273362 Gateway 0, reading I: Current: 0.00A  Volt: 4.23V  Mode: 6
10:21:49:274360 Gateway 0, reading I: GPS: 00:05:10.000  Lat:34.26583 Lon:-88.70054  Status:V
10:21:49:275354 Gateway 0, reading I: File Count: 0
10:21:49:359359 Gateway 1, reading I: PPS DETECTED
10:21:49:376355 Gateway 0, reading I: PPS DETECTED
10:21:50:367982 Gateway 1, reading I: PPS DETECTED
10:21:50:384990 Gateway 0, reading I: PPS DETECTED
10:21:51:294122 Gateway 0, reading I: PPS DETECTED
10:21:51:377861 Gateway 1, reading I: PPS DETECTED
10:21:52:284484 Gateway 1, reading I: PPS DETECTED
10:21:52:302491 Gateway 0, reading I: PPS DETECTED
10:21:53:295627 Gateway 1, reading I: PPS DETECTED
10:21:53:312638 Gateway 0, reading I: PPS DETECTED
