M D Y: 10 03 2025
10:45:52 Gateway 0, sending b'NIBR\xd6d\x988\xc4U'
10:45:52 Gateway 0, reading I: READ FROM NIB
10:45:52 Gateway 0, reading I: [CD:61:D3:52:14:02 (random)] Sensor NIB read:
10:45:52 Gateway 0, reading 00000000000000000000000000000000
10:45:53 Gateway 0, sending b'NIBR\xe1\xd7)\x7f\xa1L'
10:45:53 Gateway 0, reading I: READ FROM NIB
10:45:53 Gateway 0, reading I: PPS DETECTED
10:45:53 Gateway 0, reading I: [D6:64:98:38:C4:55 (random)] Sensor NIB read:
10:45:53 Gateway 0, reading 52454144592d2d4e4f4445313236212121212121212121212121212121212121
10:45:54 Gateway 0, reading I: PPS DETECTED
10:45:54 Gateway 0, reading I: [E1:D7:29:7F:A1:4C (random)] Sensor NIB read:
10:45:54 Gateway 0, reading 00000000000000000000000000000000
10:45:55 Gateway 0, reading I: PPS DETECTED
10:45:56 Gateway 0, reading I: PPS DETECTED
10:45:57 Gateway 0, reading I: PPS DETECTED
10:45:58 Gateway 0, reading I: PPS DETECTED
10:45:59 Gateway 0, reading I: PPS DETECTED
10:46:00 Gateway 0, reading I: PPS DETECTED
10:46:01 Gateway 0, reading I: PPS DETECTED
10:46:02 Gateway 0, reading I: PPS DETECTED
10:46:03 Gateway 0, reading I: PPS DETECTED
10:46:04 Gateway 0, reading I: PPS DETECTED
10:46:05 Gateway 0, reading I: PPS DETECTED
10:46:06 Gateway 0, reading I: PPS DETECTED
10:46:07 Gateway 0, reading I: PPS DETECTED
10:46:08 Gateway 0, reading I: PPS DETECTED
10:46:09 Gateway 0, reading I: PPS DETECTED
10:46:10 Gateway 0, reading I: PPS DETECTED
10:46:11 Gateway 0, reading I: PPS DETECTED
10:46:12 Gateway 0, reading I: PPS DETECTED
10:46:13 Gateway 0, reading I: PPS DETECTED
10:46:14 Gateway 0, reading I: PPS DETECTED
10:46:15 Gateway 0, reading I: PPS DETECTED
10:46:16 Gateway 0, reading I: PPS DETECTED
10:46:17 Gateway 0, reading I: PPS DETECTED
10:46:18 Gateway 0, reading I: PPS DETECTED
10:46:19 Gateway 0, reading I: PPS DETECTED
10:46:20 Gateway 0, reading I: PPS DETECTED
10:46:21 Gateway 0, reading I: PPS DETECTED
10:46:21 Gateway 0, sending b'NIBWS0100400000000000000000000000000'
10:46:22 Gateway 0, reading I: PPS DETECTED
10:46:22 Gateway 0, reading I: Write NIB - PPS
10:46:22 Gateway 0, reading I: NIB Write ACK
10:46:22 Gateway 0, reading I: NIB Write ACK
10:46:23 Gateway 0, reading I: PPS DETECTED
10:46:23 Gateway 0, reading I: NIB Write ACK
10:46:24 Gateway 0, reading I: NIB Write ACK
10:46:24 Gateway 0, reading I: PPS DETECTED
10:46:24 Gateway 0, reading I: NIB Write ACK
10:46:25 Gateway 0, reading I: PPS DETECTED
10:46:26 Gateway 0, reading I: PPS DETECTED
10:46:27 Gateway 0, reading I: PPS DETECTED
10:46:28 Gateway 0, reading I: PPS DETECTED
10:46:29 Gateway 0, reading I: PPS DETECTED
10:46:30 Gateway 0, reading I: PPS DETECTED
10:46:31 Gateway 0, reading I: PPS DETECTED
10:46:32 Gateway 0, reading I: PPS DETECTED
10:46:33 Gateway 0, reading I: PPS DETECTED
10:46:34 Gateway 0, reading I: PPS DETECTED
10:46:35 Gateway 0, reading I: PPS DETECTED
10:46:36 Gateway 0, reading I: PPS DETECTED
10:46:37 Gateway 0, reading I: PPS DETECTED
10:46:38 Gateway 0, reading I: PPS DETECTED
10:46:39 Gateway 0, reading I: PPS DETECTED
10:46:40 Gateway 0, reading I: PPS DETECTED
10:46:41 Gateway 0, reading I: PPS DETECTED
10:46:42 Gateway 0, reading I: PPS DETECTED
10:46:43 Gateway 0, reading I: PPS DETECTED
